0pp0;Name;GraveNo;Enclosure Type;LaborAssessment;Burial No;Extra skeletal remains?;Notes on burial;Assemblage?;AnimalRemains;Lithics;HMPottery;Storage;FineVessels;DrinkingCups;Jewellery;Weapons;SpecialFinds;Imports;Grave Rank symbols;StartDate;Enddate;Chronology rating;;;;;;;;;
1002;Mound 5;1;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;;;;;;;;;;;0 - No symbols of status present;-3500;-3000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1002;Mound 5;1;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);2;N;;N;;;;;;;;;;;0 - No symbols of status present;-3500;-3000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1002;Mound 5;2;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;;N;;;;;;;;;;;0 - No symbols of status present;-3500;-3000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1002;Mound 5;2;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);2;N;;N;;;;;;;;;;;0 - No symbols of status present;-3500;-3000;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1003;No name;1;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;Main Burial (earlier);Y;;Y (2);;;;;2(silver spirals);;red ochre;;1 - One or two status symbols (ochre, personal jewellery);-3500;-3000;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1003;No name;2;Simple pit;no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period);1;N;secondary burial;N;;;;;;;;;;;0 - No symbols of status present;-3500;-3000;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1004;Kral Mezar;1;sarcophagos;major elaboration (ashlar /cist /stone lined grave, brick tomb in RM, rockcut PH tomb, combination of any of the above);1;N;"sarchofagos placed in a pit dug into the mound; looted";Y;N;N;N;N;Y (fragments of glass and ceramic vessels);Alabaster kantharos;"bronze belt buckle; fragments of silver applications; bronze strigila; bone pins";;fragments of bronze Kandelaber;;1 - One or two status symbols (ochre, personal jewellery);150;200;3 - a number of burial aspects consulted and crossreferenced to formulate a date;;;;;;;;;
1004;Kral Mezar;2;Tomb of brick or stone;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;N;"tomb is build into a pit(not covered by the mound); The interior of the tomb was painted with murals (geometric and floral patterns)";Y;N;N;N;N;bowl;(1) cup;glass beads;no;"bone spindles and pins; fragments of glass vessels - Unguentarium and cups; remains of shoe pair";?;1 - One or two status symbols (ochre, personal jewellery);200;225;4 - C14 dates acquired, or other scientific evidence;;;;;;;;;
1004;Kral Mezar;3;tiled grave;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;N;burial pit dug into the mound;Y;N;N;N;N;;;;;"Anthropomorphic bronze unguentarium; bronze strigila; two pairs of shoes; fine glass vessel";?;1 - One or two status symbols (ochre, personal jewellery);200;250;4 - C14 dates acquired, or other scientific evidence;;;;;;;;;
1005;Golyamata mogila;1;simple pit;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;N;secondary burial dug nto the mound;N;N;N;N;N;;;;;;;0 - No symbols of status present;200;400;1 - rough estimate by author on basis of the assemblage;;;;;;;;;
1005;Golyamata mogila;2;tiled grave;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;N;;Y;N;N;N;N;;(1)Cup;;;"Large bronze vessel(?); Clay mortarium; small bronze vessels; Glass unguentarium(2); Bronze basin; wooden comb; bronze applications of a wooden chest";?;2 - Several symbols of status across multiple classes of artefacts (e.g. elaborate enclosure, weapons, jewellery, or imported goods..);100;150;4 - C14 dates acquired, or other scientific evidence;;;;;;;;;
1005;Golyamata mogila;3;tiled grave;some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period);1;N;;Y;N;N;N;N;;;;;Glass unguentarium;;0 - No symbols of status present;100;150;2 - specialist consulted on a single item;;;;;;;;;
