from,to,cost
50176,50250,1.16160387045235
50176,50183,1.54543677964036
50176,50031,3.6945114084347
50177,50173,0.931265783637275
50177,50109,0.95788131522266
50178,50304,0.807769648688829
50178,50346,2.02092950225261
50179,50011,0.936457761925019
50179,50516,13.3161329851628
50179,50486,10.2252851311391
50179,50199,0.423906830494495
50179,50713,2.57181296541497
50179,50283,3.31174694098813
50179,50396,0.570632583862376
50180,50240,2.953632758416282
50180,50160,5.100185590827181
50180,50147,5.2190934255429156
50180,50180,1.787326148453446
50180,50133,4.85002256073876
50180,50409,9.609178842156801
50180,50249,2.8989786485405
50180,51172,9.97703414649359
50180,50421,10.161529447489709
50181,50654,0.276474984729436
50181,50302,6.09058200854566
50181,50046,0.192234722868353
50182,50418,4.92446645994841
50182,50003,2.70640249813394
50182,50236,1.99527439919678
50183,50144,2.03092291605113
50183,50241,0.763587297190728
50183,50176,1.55151397251823
50184,50153,3.42206579777025
50184,50023,4.04243862025379
50185,50337,3.55020381141905
50185,50462,1.11770319645037
50185,50238,1.79667807618617
50185,50330,0.516731493365557
50185,50235,1.08888517299359
50185,50270,3.33074963344297
50185,50303,3.11074124641482
50186,50032,1.96727635579346
50186,51171,0.930495881166231
50186,51173,5.637671942097319
50186,51175,2.0708189410949043
50186,50186,1.283210596137848
50186,50207,0.396012946364451
50186,50090,5.030935574995
50186,50365,3.04178070695118
50186,50421,3.98262457390288
50187,50146,8.97155192456855
50187,50187,5.31078040315378
50187,50301,4.97390884887239
50187,50306,6.08631118490392
50188,50369,5.35570595280926
50188,50498,0.65200156114399
50188,50107,4.89270288916278
50188,50374,10.2351087080676
50188,50495,0.766797098383861
50189,50297,5.59911077626038
50189,50254,1.08733232018333
50190,50140,2.58236031001086
50190,50164,3.34703227061072
50191,50296,4.39825119400499
50191,50191,11.7927982086641
50191,50159,7.04695266224519
50191,50367,2.91111311361623
50191,50535,7.14982899131051
50192,50288,0.801761222755165
50192,50028,0.397522037634586
50192,50661,0.914672746332196
50193,50009,1.68139439965984
50193,50102,1.30610618523159
50194,50288,0.909753024076811
50194,50244,1.49817267905948
50195,50217,5.48174257200951
50195,50258,2.8534319970227
50196,50017,0.516740767998786
50196,50267,0.252087356635089
50196,50297,4.29799440165015
50197,50373,1.08003857972031
50198,50384,2.46807232489633
50198,50449,0.591457900271723
50198,50483,0.904103561075924
50198,50391,2.65364960969495
50198,50329,0.763665656818875
50199,50208,0.237449209008992
50199,50011,0.907382831102013
50199,50179,0.408252379565444
50199,50131,3.5931229297969
50200,50129,2.35164842441772
50200,50627,2.39847552267412
50200,50403,4.832726811897058
50200,50200,1.606443779196336
50200,50618,0.52966077791687
50200,50620,1.73011723567897
50200,50158,6.775126780822618
50200,50399,0.303363963151481
50201,50518,0.538248610275482
50201,50022,1.11014540119331
50201,50201,3.62856716482864
50201,50089,2.16362589365085
50201,50311,1.20300802199327
50201,50349,0.932615161710988
50201,50045,3.86296715485306
50202,50025,4.80343293892038
50202,50404,6.99842441861758
50203,50379,2.85568458767336
50203,50285,3.50110247851584
50204,50019,0.771936259124389
50204,50223,2.12827853209003
50205,50049,1.26968806800372
50205,50132,0.597576490409944
50206,50368,2.44993682976437
50206,50448,1.62445762665475
50206,50449,3.58066507705097
